MFW,method,distance,ARI,AMI,Correct Attribution,RI,NMI,Cluster errors,Cluster 1,Cluster 2,Cluster 3,Cluster 4
185,centroid,canberra,-0.0359019264448336,-0.0192616334396172,0.75,0.428571428571429,0.22251785183038,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_4 Desaguliers_5 Desaguliers_6 Folkes_1 Stukeley_ 1 Stukeley_ 2,Desaguliers,Desaguliers,Folkes
190,centroid,canberra,0.123467600700525,0.164203725847738,0.75,0.516483516483516,0.362463315265598,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Desaguliers_6 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
195,centroid,canberra,0.123467600700525,0.164203725847738,0.75,0.516483516483516,0.362463315265598,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Desaguliers_6 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
200,centroid,canberra,-0.0359019264448336,-0.0192616334396172,0.75,0.428571428571429,0.22251785183038,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_4 Desaguliers_5 Desaguliers_6 Folkes_1 Stukeley_ 1 Stukeley_ 2,Desaguliers,Desaguliers,Folkes
40,ward.D,manhattan,0.543935850317407,0.594937811349749,0.5,0.835164835164835,0.721224586707665,2,Anderson,Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1,Desaguliers,Folkes_2 Stukeley_ 1 Stukeley_ 2
45,ward.D,manhattan,0.467102996899759,0.544027768623077,0.5,0.813186813186813,0.684998869426359,2,Anderson,Anderson_4 Desaguliers_3 Desaguliers_6,Desaguliers,Folkes_1 Folkes_2 Stukeley_ 1 Stukeley_ 2
50,ward.D,manhattan,0.592901878914405,0.66778199852721,0.75,0.835164835164835,0.7657582072875,1,Anderson,Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Folkes_1 Folkes_2,Desaguliers,Stukeley
55,ward.D,manhattan,0.467102996899759,0.544027768623077,0.5,0.813186813186813,0.684998869426359,2,Anderson,Anderson_4 Desaguliers_3 Desaguliers_6,Desaguliers,Folkes_1 Folkes_2 Stukeley_ 1 Stukeley_ 2
60,ward.D,manhattan,0.629579375848033,0.707603552831087,0.75,0.868131868131868,0.798198685911048,1,Anderson,Desaguliers,Desaguliers,Folkes_1 Folkes_2 Stukeley_ 1 Stukeley_ 2
65,ward.D,manhattan,0.629579375848033,0.707603552831087,0.75,0.868131868131868,0.798198685911048,1,Anderson,Desaguliers,Desaguliers,Folkes_1 Folkes_2 Stukeley_ 1 Stukeley_ 2
70,ward.D,manhattan,0.592901878914405,0.66778199852721,0.75,0.835164835164835,0.7657582072875,1,Anderson,Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Folkes_1 Folkes_2,Desaguliers,Stukeley
75,ward.D,manhattan,0.592901878914405,0.66778199852721,0.75,0.835164835164835,0.7657582072875,1,Anderson,Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Folkes_1 Folkes_2,Desaguliers,Stukeley
80,ward.D,manhattan,0.592901878914405,0.66778199852721,0.75,0.835164835164835,0.7657582072875,1,Anderson,Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Folkes_1 Folkes_2,Desaguliers,Stukeley
85,ward.D,manhattan,0.467102996899759,0.544027768623077,0.5,0.813186813186813,0.684998869426359,2,Anderson,Anderson_4 Desaguliers_3 Desaguliers_6,Desaguliers,Folkes_1 Folkes_2 Stukeley_ 1 Stukeley_ 2
90,ward.D,manhattan,0.629579375848033,0.707603552831087,0.75,0.868131868131868,0.798198685911048,1,Anderson,Desaguliers,Desaguliers,Folkes_1 Folkes_2 Stukeley_ 1 Stukeley_ 2
95,ward.D,manhattan,0.629579375848033,0.707603552831087,0.75,0.868131868131868,0.798198685911048,1,Anderson,Desaguliers,Desaguliers,Folkes_1 Folkes_2 Stukeley_ 1 Stukeley_ 2
100,ward.D,manhattan,0.629579375848033,0.707603552831087,0.75,0.868131868131868,0.798198685911048,1,Anderson,Desaguliers,Desaguliers,Folkes_1 Folkes_2 Stukeley_ 1 Stukeley_ 2
105,ward.D,manhattan,0.629579375848033,0.707603552831087,0.75,0.868131868131868,0.798198685911048,1,Anderson,Desaguliers,Desaguliers,Folkes_1 Folkes_2 Stukeley_ 1 Stukeley_ 2
110,ward.D,manhattan,0.629579375848033,0.707603552831087,0.75,0.868131868131868,0.798198685911048,1,Anderson,Desaguliers,Desaguliers,Folkes_1 Folkes_2 Stukeley_ 1 Stukeley_ 2
115,ward.D,manhattan,0.629579375848033,0.707603552831087,0.75,0.868131868131868,0.798198685911048,1,Anderson,Desaguliers,Desaguliers,Folkes_1 Folkes_2 Stukeley_ 1 Stukeley_ 2
120,ward.D,manhattan,0.629579375848033,0.707603552831087,0.75,0.868131868131868,0.798198685911048,1,Anderson,Desaguliers,Desaguliers,Folkes_1 Folkes_2 Stukeley_ 1 Stukeley_ 2
125,ward.D,manhattan,0.629579375848033,0.707603552831087,0.75,0.868131868131868,0.798198685911048,1,Anderson,Desaguliers,Desaguliers,Folkes_1 Folkes_2 Stukeley_ 1 Stukeley_ 2
130,ward.D,manhattan,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
