MFW,method,distance,ARI,AMI,Correct Attribution,RI,NMI,Cluster errors,Cluster 1,Cluster 2,Cluster 3,Cluster 4
200,median,delta,0.1474897910160942,0.22266061258192152,0.75,0.5714285714285714,0.4240824526312922,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1717AuroraBorealis_1736MockSuns_1747FatherHardouin_tagged Folkes_1743FreshWaterPolypus_tagged,Anderson,Desaguliers,Stukeley
40,centroid,delta,0.23492673552726404,0.2878165251804949,0.75,0.6153846153846154,0.47235536146327245,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_Royal_Geneologies_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Desaguliers,Folkes,Stukeley
45,centroid,delta,0.23492673552726404,0.2878165251804949,0.75,0.6153846153846154,0.47235536146327245,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_Royal_Geneologies_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Desaguliers,Folkes,Stukeley
50,centroid,delta,0.23492673552726404,0.2878165251804949,0.75,0.6153846153846154,0.47235536146327245,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_Royal_Geneologies_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Desaguliers,Folkes,Stukeley
55,centroid,delta,0.23492673552726404,0.2878165251804949,0.75,0.6153846153846154,0.47235536146327245,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_Royal_Geneologies_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Desaguliers,Folkes,Stukeley
60,centroid,delta,0.23492673552726404,0.2878165251804949,0.75,0.6153846153846154,0.47235536146327245,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_Royal_Geneologies_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Desaguliers,Folkes,Stukeley
65,centroid,delta,0.23492673552726404,0.2878165251804949,0.75,0.6153846153846154,0.47235536146327245,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_Royal_Geneologies_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Desaguliers,Folkes,Stukeley
70,centroid,delta,0.1474897910160942,0.22266061258192152,0.75,0.5714285714285714,0.4240824526312922,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1717AuroraBorealis_1736MockSuns_1747FatherHardouin_tagged Folkes_1743FreshWaterPolypus_tagged,Anderson,Desaguliers,Stukeley
75,centroid,delta,0.1474897910160942,0.22266061258192152,0.75,0.5714285714285714,0.4240824526312922,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1717AuroraBorealis_1736MockSuns_1747FatherHardouin_tagged Folkes_1743FreshWaterPolypus_tagged,Anderson,Desaguliers,Stukeley
80,centroid,delta,0.23492673552726404,0.2878165251804949,0.75,0.6153846153846154,0.47235536146327245,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_Royal_Geneologies_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Desaguliers,Folkes,Stukeley
85,centroid,delta,0.23492673552726404,0.2878165251804949,0.75,0.6153846153846154,0.47235536146327245,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_Royal_Geneologies_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Desaguliers,Folkes,Stukeley
90,centroid,delta,0.23492673552726404,0.2878165251804949,0.75,0.6153846153846154,0.47235536146327245,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_Royal_Geneologies_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Desaguliers,Folkes,Stukeley
95,centroid,delta,0.23492673552726404,0.2878165251804949,0.75,0.6153846153846154,0.47235536146327245,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_Royal_Geneologies_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Desaguliers,Folkes,Stukeley
100,centroid,delta,0.23492673552726404,0.2878165251804949,0.75,0.6153846153846154,0.47235536146327245,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_Royal_Geneologies_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Desaguliers,Folkes,Stukeley
105,centroid,delta,0.23492673552726404,0.2878165251804949,0.75,0.6153846153846154,0.47235536146327245,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_Royal_Geneologies_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Desaguliers,Folkes,Stukeley
110,centroid,delta,0.23492673552726404,0.2878165251804949,0.75,0.6153846153846154,0.47235536146327245,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_Royal_Geneologies_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Desaguliers,Folkes,Stukeley
115,centroid,delta,0.23492673552726404,0.2878165251804949,0.75,0.6153846153846154,0.47235536146327245,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_Royal_Geneologies_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Desaguliers,Folkes,Stukeley
120,centroid,delta,0.23492673552726404,0.2878165251804949,0.75,0.6153846153846154,0.47235536146327245,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_Royal_Geneologies_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Desaguliers,Folkes,Stukeley
125,centroid,delta,0.23492673552726404,0.2878165251804949,0.75,0.6153846153846154,0.47235536146327245,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_Royal_Geneologies_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Desaguliers,Folkes,Stukeley
130,centroid,delta,0.23492673552726404,0.2878165251804949,0.75,0.6153846153846154,0.47235536146327245,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_Royal_Geneologies_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Desaguliers,Folkes,Stukeley
135,centroid,delta,0.23492673552726404,0.2878165251804949,0.75,0.6153846153846154,0.47235536146327245,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_Royal_Geneologies_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Desaguliers,Folkes,Stukeley
140,centroid,delta,0.23492673552726404,0.2878165251804949,0.75,0.6153846153846154,0.47235536146327245,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_Royal_Geneologies_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Desaguliers,Folkes,Stukeley
